director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
Max Walker-Silverman,Dale Dickey,Wes Studi,unknown,Drama,a love song,Dale Dickey Wes Studi unknown Max Walker-Silverman Drama
Oran Zegman,Angourie Rice,Gaten Matarazzo,Christopher Mintz-Plasse,Comedy,honor society,Angourie Rice Gaten Matarazzo Christopher Mintz-Plasse Oran Zegman Comedy
Spider One,John Ennis,Bryce Johnson,Edward Hong,Horror,allegoria,John Ennis Bryce Johnson Edward Hong Spider One Horror
David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Action Comedy Thriller,bullet train,Brad Pitt Joey King Aaron Taylor-Johnson David Leitch Action Comedy Thriller
Peggy Holmes,Eva Noblezada,Simon Pegg,Jane Fonda,Animation Adventure Comedy Fantasy,luck,Eva Noblezada Simon Pegg Jane Fonda Peggy Holmes Animation Adventure Comedy Fantasy
Dan Trachtenberg,Amber Midthunder,Dakota Beavers,Michelle Thrush,Thriller Action Science Fiction,prey,Amber Midthunder Dakota Beavers Michelle Thrush Dan Trachtenberg Thriller Action Science Fiction
Jay Chandrasekhar,Jo Koy,Jimmy O. Yang,Tia Carrere,Comedy,easter sunday,Jo Koy Jimmy O. Yang Tia Carrere Jay Chandrasekhar Comedy
"Ant Ward, Andy Suriano",Ben Schwartz,Omar Benson Miller,Brandon Mychal Smith,Animation Action Comedy Family Science Fiction,rise of the teenage mutant ninja turtles: the movie,"Ben Schwartz Omar Benson Miller Brandon Mychal Smith Ant Ward, Andy Suriano Animation Action Comedy Family Science Fiction"
Halina Reijn,Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Mystery Comedy Horror,bodies bodies bodies,Amandla Stenberg Maria Bakalova Myha'la Herrold Halina Reijn Mystery Comedy Horror
John Logan,Kevin Bacon,Carrie Preston,Anna Chlumsky,Horror Thriller,they/them,Kevin Bacon Carrie Preston Anna Chlumsky John Logan Horror Thriller
unknown,Owen Wilson,Walker Scobell,Jesse Williams,Science Fiction Adventure Action,secret headquarters,Owen Wilson Walker Scobell Jesse Williams unknown Science Fiction Adventure Action
J. J. Perry,Jamie Foxx,Dave Franco,Natasha Liu Bordizzo,Action Fantasy Horror Comedy,day shift,Jamie Foxx Dave Franco Natasha Liu Bordizzo J. J. Perry Action Fantasy Horror Comedy
Katie Aselton,Diane Keaton,Taylour Paige,Elizabeth Lail,Comedy Fantasy,mack & rita,Diane Keaton Taylour Paige Elizabeth Lail Katie Aselton Comedy Fantasy
Scott Mann,Grace Caroline Currey,Virginia Gardner,Mason Gooding,Thriller,fall,Grace Caroline Currey Virginia Gardner Mason Gooding Scott Mann Thriller
John Patton Ford,Aubrey Plaza,Theo Rossi,Megalyn Echikunwoke,Crime Thriller,emily the criminal,Aubrey Plaza Theo Rossi Megalyn Echikunwoke John Patton Ford Crime Thriller
James Ponsoldt,Lia Barnett,Lake Bell,Sarah Cooper,Drama,summering,Lia Barnett Lake Bell Sarah Cooper James Ponsoldt Drama
Baltasar Kormákur,Idris Elba,Iyana Halley,Leah Sava Jeffries,Thriller Adventure Horror,beast,Idris Elba Iyana Halley Leah Sava Jeffries Baltasar Kormákur Thriller Adventure Horror
William Brent Bell,Isabelle Fuhrman,Rossif Sutherland,Hiro Kanagawa,Horror Thriller,orphan: first kill,Isabelle Fuhrman Rossif Sutherland Hiro Kanagawa William Brent Bell Horror Thriller
Jeff Baena,Alison Brie,Alessandro Nivola,Molly Shannon,Comedy,spin me round,Alison Brie Alessandro Nivola Molly Shannon Jeff Baena Comedy
Robert Budreau,Stephan James,Marisa Tomei,Paul Walter Hauser,Drama Mystery Thriller,delia's gone,Stephan James Marisa Tomei Paul Walter Hauser Robert Budreau Drama Mystery Thriller
George Miller,Idris Elba,Tilda Swinton,unknown,Fantasy Drama Romance,three thousand years of longing,Idris Elba Tilda Swinton unknown George Miller Fantasy Drama Romance
Julius Avery,Sylvester Stallone,Javon Walton,Pilou Asbæk,Action Drama Science Fiction,samaritan,Sylvester Stallone Javon Walton Pilou Asbæk Julius Avery Action Drama Science Fiction
John Hamburg,Kevin Hart,Mark Wahlberg,Regina Hall,Comedy,me time,Kevin Hart Mark Wahlberg Regina Hall John Hamburg Comedy
Jessica M. Thompson,Nathalie Emmanuel,Thomas Doherty,Stephanie Corneliussen,Horror Thriller,the invitation,Nathalie Emmanuel Thomas Doherty Stephanie Corneliussen Jessica M. Thompson Horror Thriller
Abi Damaris Corbin,John Boyega,Nicole Beharie,Selenis Leyva,Adventure Fantasy Drama Romance,breaking,John Boyega Nicole Beharie Selenis Leyva Abi Damaris Corbin Adventure Fantasy Drama Romance
Owen Kline,Daniel Zolghadri,Matthew Maher,Miles Emanuel,Comedy,funny pages,Daniel Zolghadri Matthew Maher Miles Emanuel Owen Kline Comedy
Adamma Ebo,Regina Hall,Sterling K. Brown,Austin Crute,Comedy,honk for jesus. save your soul.,Regina Hall Sterling K. Brown Austin Crute Adamma Ebo Comedy
